bin_id,population_nearby,rainfall_mm,temperature_c,is_holiday,hours_since_last_collection,previous_fill_percentage,overflow_probability,will_overflow
BIN-0104,3290,3.12,25.3,0,8.1,88.7,1.0,1
BIN-0086,700,5.4,29.1,0,4.1,93.3,1.0,1
BIN-0141,2353,2.06,8.7,0,17.2,13.8,0.54,0
BIN-0118,3193,19.54,29.4,0,5.3,48.8,0.655,0
BIN-0104,3290,3.6,21.9,0,45.1,37.8,1.0,1
BIN-0120,1863,3.7,20.8,1,38.8,43.3,1.0,1
BIN-0121,2481,6.32,25.3,0,23.2,32.6,1.0,1
BIN-0048,4514,4.13,38.6,0,13.5,39.8,1.0,1
BIN-0113,3657,10.61,30.0,0,45.2,25.0,1.0,1
BIN-0068,837,6.85,11.1,0,27.4,66.1,0.93,1
BIN-0048,4514,3.28,14.0,0,46.2,51.1,1.0,1
BIN-0102,1984,2.65,16.1,0,27.0,54.3,1.0,1
BIN-0042,3324,8.53,13.9,0,11.7,31.8,0.824,0
BIN-0124,2538,2.57,27.0,0,19.0,96.0,1.0,1
BIN-0093,2070,1.62,8.1,0,14.2,43.8,0.767,0
BIN-0024,2306,0.16,23.5,0,12.7,79.8,1.0,1
BIN-0136,3945,0.04,21.8,0,23.1,99.2,1.0,1
BIN-0013,2933,0.0,30.8,1,22.4,59.9,1.0,1
BIN-0112,3814,3.59,15.9,0,44.6,37.5,1.0,1
BIN-0069,1378,4.05,35.0,0,22.8,24.7,0.671,0
BIN-0109,3742,5.03,6.3,0,39.8,45.1,1.0,1
BIN-0012,2891,3.68,11.9,0,6.5,75.7,0.943,1
BIN-0107,2257,0.84,13.0,0,21.1,1.5,0.556,0
BIN-0086,700,6.0,24.4,1,24.5,45.0,0.833,0
BIN-0021,2547,3.82,22.3,0,42.3,21.6,1.0,1
BIN-0030,2028,1.98,19.7,0,8.0,45.4,0.596,0
BIN-0015,3885,2.85,17.0,0,38.2,56.7,1.0,1
BIN-0069,1378,0.79,16.9,0,32.5,38.1,0.781,0
BIN-0101,706,8.32,25.3,0,47.8,89.3,1.0,1
BIN-0038,2863,8.72,28.4,0,23.5,62.6,1.0,1
BIN-0114,3125,3.59,39.3,0,45.6,90.2,1.0,1
BIN-0070,1576,8.08,24.7,0,25.2,74.8,1.0,1
BIN-0096,1528,7.25,33.4,0,14.4,34.8,0.598,0
BIN-0096,1528,6.16,31.9,0,39.0,37.0,0.937,1
BIN-0027,3505,1.44,24.8,1,23.3,7.4,1.0,1
BIN-0070,1576,9.28,15.7,1,26.4,13.8,0.802,0
BIN-0133,4248,6.4,27.7,0,17.8,69.4,1.0,1
BIN-0089,4145,3.19,13.8,0,42.5,32.5,1.0,1
BIN-0144,3957,2.61,13.0,0,15.6,70.5,1.0,1
BIN-0073,992,9.02,26.7,0,25.9,83.0,1.0,1
BIN-0038,2863,6.18,29.4,0,30.3,44.3,1.0,1
BIN-0039,2561,1.06,24.1,0,20.8,87.6,1.0,1
BIN-0100,4988,0.15,31.4,0,42.4,81.3,1.0,1
BIN-0138,1995,2.07,26.1,0,6.3,63.4,0.729,0
BIN-0103,1363,0.04,24.8,0,3.0,68.7,0.716,0
BIN-0091,3231,9.21,22.9,0,6.0,70.2,0.925,1
BIN-0020,3058,7.01,24.3,0,29.5,26.4,1.0,1
BIN-0102,1984,8.98,12.8,1,3.4,99.9,1.0,1
BIN-0058,4343,0.31,27.8,0,32.4,99.9,1.0,1
BIN-0112,3814,1.76,17.7,0,34.9,17.1,1.0,1
BIN-0078,2527,0.36,35.1,0,8.9,79.3,1.0,1
BIN-0008,3419,4.92,22.4,0,13.8,38.0,0.88,0
BIN-0021,2547,1.82,19.9,0,23.1,25.9,0.966,1
BIN-0030,2028,13.0,25.2,0,23.4,69.0,1.0,1
BIN-0107,2257,8.44,20.5,0,15.4,61.4,1.0,1
BIN-0048,4514,11.48,25.2,0,18.0,17.9,1.0,1
BIN-0039,2561,1.18,24.5,0,6.4,95.1,1.0,1
BIN-0110,1559,13.23,19.7,0,30.0,28.8,0.768,0
BIN-0101,706,0.32,32.3,0,13.2,64.2,0.708,0
BIN-0116,2097,1.95,29.9,0,5.4,46.1,0.587,0
BIN-0044,1863,0.5,33.1,0,22.3,63.4,1.0,1
BIN-0009,630,0.17,15.0,0,18.0,46.9,0.601,0
BIN-0133,4248,0.79,24.7,1,7.3,94.6,1.0,1
BIN-0146,4196,1.86,14.3,0,38.2,88.2,1.0,1
BIN-0008,3419,4.36,31.2,0,2.5,43.9,0.471,0
BIN-0100,4988,3.43,22.1,0,4.8,5.1,0.368,0
BIN-0016,4617,2.17,18.7,0,9.2,95.3,1.0,1
BIN-0134,1163,2.06,19.3,0,22.9,76.7,1.0,1
BIN-0109,3742,3.57,28.0,0,14.1,37.5,0.911,1
BIN-0122,2163,0.33,25.3,0,12.5,49.0,0.806,0
BIN-0133,4248,8.8,25.3,0,20.6,44.9,1.0,1
BIN-0027,3505,20.28,28.4,1,35.2,19.0,1.0,1
BIN-0021,2547,1.63,31.7,0,27.9,80.3,1.0,1
BIN-0081,891,0.24,16.3,0,6.9,66.5,0.708,0
BIN-0087,3604,1.61,35.1,0,10.9,66.8,1.0,1
BIN-0006,3944,0.89,34.5,1,16.6,53.2,1.0,1
BIN-0097,1002,0.88,18.6,0,27.9,94.5,1.0,1
BIN-0039,2561,5.13,27.0,0,14.1,3.9,0.502,0
BIN-0044,1863,1.24,32.7,0,34.1,38.8,1.0,1
BIN-0026,3234,2.76,16.3,0,29.0,47.6,1.0,1
BIN-0095,4340,3.55,26.8,0,15.1,29.8,1.0,1
BIN-0131,1209,0.05,20.5,0,16.7,76.7,0.953,1
BIN-0003,3592,11.52,16.9,0,11.5,20.0,0.711,0
BIN-0116,2097,6.29,20.4,0,2.1,45.1,0.557,0
BIN-0010,2185,3.47,22.0,0,21.4,14.7,0.623,0
BIN-0101,706,0.09,22.7,0,38.5,13.3,0.413,0
BIN-0074,2562,6.26,19.9,1,39.8,20.4,1.0,1
BIN-0006,3944,0.7,11.3,0,16.4,83.9,1.0,1
BIN-0019,1582,4.64,33.3,0,3.5,85.2,0.842,0
BIN-0080,1995,5.38,35.6,0,44.8,84.1,1.0,1
BIN-0132,4913,2.09,28.1,1,13.4,8.0,1.0,1
BIN-0017,3404,1.1,31.0,0,46.7,94.7,1.0,1
BIN-0066,1775,2.2,18.5,0,39.8,27.1,1.0,1
BIN-0117,3560,2.74,23.6,0,47.8,39.9,1.0,1
BIN-0123,2029,0.56,20.0,0,32.3,64.7,1.0,1
BIN-0032,4056,0.01,25.7,0,3.8,48.8,0.633,0
BIN-0084,2778,4.26,26.7,0,44.8,78.5,1.0,1
BIN-0132,4913,3.14,19.9,0,13.8,59.4,1.0,1
BIN-0043,3112,1.5,23.5,0,15.5,87.8,1.0,1
BIN-0071,4493,4.53,7.7,0,31.3,75.1,1.0,1
BIN-0126,2737,3.23,26.5,0,18.8,1.2,0.608,0
BIN-0079,3195,11.29,22.7,0,39.3,85.9,1.0,1
BIN-0106,4691,6.19,23.2,0,18.9,59.1,1.0,1
BIN-0071,4493,11.72,38.7,0,45.7,86.9,1.0,1
BIN-0130,1782,4.11,17.6,0,26.0,93.3,1.0,1
BIN-0126,2737,6.52,14.0,0,15.3,76.8,1.0,1
BIN-0018,974,6.23,15.3,0,24.8,41.8,0.705,0
BIN-0033,4390,6.63,35.0,0,46.4,21.7,1.0,1
BIN-0080,1995,2.31,18.4,0,11.9,20.0,0.42,0
BIN-0018,974,8.09,31.3,1,28.4,22.0,0.735,0
BIN-0105,1063,0.21,24.5,0,27.7,91.7,1.0,1
BIN-0057,3113,0.0,30.1,0,29.9,45.1,1.0,1
BIN-0078,2527,0.65,11.6,0,29.8,61.4,1.0,1
BIN-0091,3231,0.48,19.8,0,33.1,87.5,1.0,1
BIN-0045,1978,5.65,23.8,0,44.0,47.0,1.0,1
BIN-0111,2222,13.16,7.8,0,22.4,31.8,0.969,1
BIN-0041,2541,1.33,37.2,0,27.3,49.2,1.0,1
BIN-0117,3560,6.29,27.4,0,5.1,97.6,1.0,1
BIN-0130,1782,13.48,30.2,0,19.9,39.3,0.867,0
BIN-0127,1806,5.03,34.4,0,43.9,87.0,1.0,1
BIN-0047,1275,0.17,23.3,0,23.7,81.9,1.0,1
BIN-0124,2538,9.01,28.6,0,13.5,68.7,1.0,1
BIN-0096,1528,2.02,28.1,0,41.8,3.2,0.638,0
BIN-0081,891,2.3,31.2,0,3.5,62.5,0.737,0
BIN-0120,1863,0.03,22.0,0,10.1,2.9,0.206,0
BIN-0008,3419,4.48,16.6,0,11.3,27.0,0.74,0
BIN-0064,3842,4.79,19.8,0,41.9,51.9,1.0,1
BIN-0081,891,0.76,27.5,0,30.5,23.2,0.434,0
BIN-0039,2561,7.08,32.3,0,26.1,47.7,1.0,1
BIN-0109,3742,1.04,38.9,0,30.0,70.3,1.0,1
BIN-0141,2353,1.39,27.8,0,39.6,99.0,1.0,1
BIN-0122,2163,5.05,18.1,0,4.6,97.8,1.0,1
BIN-0080,1995,4.07,24.7,0,30.2,71.6,1.0,1
BIN-0018,974,0.33,27.4,0,18.0,48.7,0.624,0
BIN-0027,3505,8.8,35.7,0,13.1,16.8,0.62,0
BIN-0116,2097,4.67,4.4,0,24.2,34.1,0.88,0
BIN-0023,1475,3.59,17.6,0,3.6,70.4,0.737,0
BIN-0123,2029,4.9,31.5,0,44.1,95.8,1.0,1
BIN-0027,3505,23.22,33.6,0,41.6,14.5,1.0,1
BIN-0056,3961,4.59,29.9,0,3.8,1.4,0.114,0
BIN-0088,2954,5.24,38.2,0,23.6,92.5,1.0,1
BIN-0141,2353,4.9,30.4,0,41.5,39.1,1.0,1
BIN-0018,974,0.98,18.5,0,26.8,25.8,0.353,0
BIN-0118,3193,1.32,42.0,0,20.0,91.5,1.0,1
BIN-0127,1806,5.61,15.2,0,23.2,2.1,0.381,0
BIN-0094,3190,1.02,40.4,0,33.2,47.1,1.0,1
BIN-0108,2178,1.44,22.5,0,6.4,1.3,0.195,0
BIN-0105,1063,1.04,25.1,0,5.9,46.1,0.505,0
BIN-0085,3599,5.5,31.6,0,11.7,85.1,1.0,1
BIN-0112,3814,0.87,29.9,0,3.3,62.9,0.726,0
BIN-0049,534,2.01,26.5,1,38.1,62.3,0.89,0
BIN-0084,2778,3.9,27.2,0,46.4,26.0,1.0,1
BIN-0086,700,4.98,41.2,0,21.1,38.0,0.526,0
BIN-0037,1100,4.45,19.6,1,5.9,34.7,0.555,0
BIN-0120,1863,8.9,27.8,0,23.9,31.8,0.756,0
BIN-0006,3944,3.57,28.0,0,40.6,93.1,1.0,1
BIN-0085,3599,1.46,24.2,1,2.5,58.8,0.705,0
BIN-0022,3247,1.02,19.5,0,25.7,71.3,1.0,1
BIN-0139,3804,8.66,24.7,0,16.3,45.1,1.0,1
BIN-0042,3324,7.55,24.8,0,28.9,4.9,1.0,1
BIN-0149,1198,2.24,9.6,0,44.6,82.9,1.0,1
BIN-0077,3068,23.8,18.5,1,32.7,5.9,1.0,1
BIN-0134,1163,10.73,10.1,0,38.0,54.4,1.0,1
BIN-0150,2660,1.44,31.4,0,18.9,7.8,0.627,0
BIN-0061,4797,6.44,23.5,1,16.2,97.6,1.0,1
BIN-0009,630,12.19,21.5,1,21.6,55.5,0.748,0
BIN-0033,4390,1.06,12.1,1,3.3,20.0,0.44,0
BIN-0103,1363,0.31,20.3,0,15.3,61.3,0.87,0
BIN-0141,2353,0.47,18.0,0,13.5,41.7,0.763,0
BIN-0084,2778,1.69,37.0,1,23.0,83.0,1.0,1
BIN-0098,4993,10.34,50.7,0,15.1,76.5,1.0,1
BIN-0025,689,0.38,20.7,0,31.2,88.0,1.0,1
BIN-0120,1863,0.3,20.6,0,22.6,34.6,0.836,0
BIN-0100,4988,4.6,12.0,1,25.1,46.5,1.0,1
BIN-0131,1209,4.48,21.0,0,38.6,5.0,0.565,0
BIN-0035,3388,6.16,29.8,0,10.9,13.0,0.526,0
BIN-0085,3599,1.85,12.6,0,39.2,47.1,1.0,1
BIN-0074,2562,2.03,13.6,0,15.2,96.9,1.0,1
BIN-0075,4384,0.83,29.9,0,9.1,79.4,1.0,1
BIN-0020,3058,15.01,23.4,0,27.5,38.3,1.0,1
BIN-0023,1475,2.71,14.4,0,29.6,32.7,0.801,0
BIN-0038,2863,2.12,30.2,0,15.6,88.9,1.0,1
BIN-0080,1995,5.13,32.2,0,15.2,50.1,0.832,0
BIN-0036,2935,2.11,33.4,0,46.8,26.7,1.0,1
BIN-0027,3505,1.47,29.5,0,2.0,60.0,0.681,0
BIN-0109,3742,10.62,15.4,0,8.7,58.2,0.925,1
BIN-0137,4243,2.76,21.9,0,25.9,69.6,1.0,1
BIN-0111,2222,0.99,41.1,0,33.4,20.8,0.913,1
BIN-0054,3573,2.86,23.5,0,18.4,25.2,0.94,1
BIN-0007,3671,7.34,26.4,0,13.3,0.9,0.6,0
BIN-0144,3957,0.74,16.0,0,29.1,29.8,1.0,1
BIN-0059,2000,7.8,19.2,0,35.1,88.2,1.0,1
BIN-0117,3560,6.24,20.1,0,17.0,44.2,1.0,1
BIN-0065,4298,1.95,33.8,0,45.3,59.9,1.0,1
BIN-0027,3505,10.34,9.5,0,28.8,7.1,1.0,1
BIN-0030,2028,0.16,31.7,1,4.5,59.7,0.774,0
BIN-0021,2547,2.01,26.0,0,6.8,61.2,0.75,0
BIN-0113,3657,7.29,23.5,1,41.8,29.7,1.0,1
BIN-0055,1521,2.86,36.5,0,36.5,51.0,1.0,1
BIN-0027,3505,6.19,25.4,0,2.4,19.0,0.268,0
BIN-0038,2863,3.68,25.1,0,20.0,31.0,0.932,1
BIN-0032,4056,4.97,21.2,0,43.7,90.1,1.0,1
BIN-0120,1863,5.29,21.5,0,19.4,89.4,1.0,1
BIN-0130,1782,4.04,9.1,0,43.2,80.3,1.0,1
BIN-0006,3944,4.14,38.9,0,2.8,33.5,0.513,0
BIN-0030,2028,4.7,24.5,0,11.6,66.1,0.874,0
BIN-0077,3068,1.97,23.8,1,3.1,30.6,0.493,0
BIN-0055,1521,3.85,20.3,0,19.9,51.1,0.858,0
BIN-0028,2399,10.37,23.5,0,15.4,61.5,1.0,1
BIN-0015,3885,2.53,33.7,0,24.5,57.9,1.0,1
BIN-0101,706,1.81,32.0,0,44.9,71.7,1.0,1
BIN-0047,1275,0.92,21.1,0,26.3,29.1,0.5,0
BIN-0022,3247,11.1,28.5,0,40.8,56.9,1.0,1
BIN-0101,706,4.58,26.4,0,35.6,83.3,1.0,1
BIN-0122,2163,0.25,23.8,0,8.4,0.3,0.236,0
BIN-0118,3193,6.1,19.9,0,2.6,77.2,0.836,0
BIN-0083,4061,6.11,29.8,0,2.7,35.3,0.48,0
BIN-0086,700,12.93,23.1,0,40.9,30.9,0.627,0
BIN-0060,661,6.46,26.7,0,46.5,47.8,0.817,0
BIN-0110,1559,2.32,23.1,0,47.2,9.6,0.8,0
BIN-0069,1378,8.94,34.5,0,32.3,31.7,0.797,0
BIN-0114,3125,7.18,17.9,0,13.1,67.9,1.0,1
BIN-0106,4691,3.56,27.7,0,19.1,45.6,1.0,1
BIN-0127,1806,19.79,21.6,0,8.7,79.9,1.0,1
BIN-0013,2933,7.48,12.7,0,9.6,77.7,1.0,1
BIN-0106,4691,6.97,26.8,0,40.3,17.5,1.0,1
BIN-0149,1198,0.08,40.3,0,32.0,15.4,0.471,0
BIN-0030,2028,0.16,24.9,0,10.6,93.5,1.0,1
BIN-0105,1063,6.1,30.5,0,29.0,35.4,0.668,0
BIN-0130,1782,4.55,40.2,0,11.3,21.4,0.421,0
BIN-0006,3944,5.51,21.4,0,24.7,31.2,1.0,1
BIN-0131,1209,1.91,36.2,0,12.7,89.7,0.999,1
BIN-0150,2660,3.56,9.1,0,32.9,19.6,1.0,1
BIN-0122,2163,2.63,34.8,0,18.2,83.7,1.0,1
BIN-0011,1269,14.27,17.9,0,29.4,64.4,1.0,1
BIN-0025,689,0.63,29.2,0,42.9,70.0,1.0,1
BIN-0020,3058,5.49,22.9,0,39.6,65.5,1.0,1
BIN-0025,689,0.13,12.6,0,18.7,25.5,0.392,0
BIN-0016,4617,16.97,32.5,0,23.9,85.5,1.0,1
BIN-0129,3175,8.02,46.7,0,8.1,67.7,1.0,1
BIN-0130,1782,19.34,24.5,0,6.8,44.9,0.71,0
BIN-0005,4926,6.17,27.0,0,45.7,34.0,1.0,1
BIN-0017,3404,2.83,21.0,0,31.7,84.6,1.0,1
BIN-0050,3652,0.34,35.1,0,43.9,30.4,1.0,1
BIN-0083,4061,8.96,28.8,0,22.0,55.6,1.0,1
BIN-0038,2863,4.58,40.5,0,15.1,81.9,1.0,1
BIN-0098,4993,8.99,35.2,0,5.0,21.6,0.434,0
BIN-0019,1582,15.6,29.8,0,38.4,49.5,1.0,1
BIN-0004,966,2.65,4.9,0,12.6,0.6,0.095,0
BIN-0142,1791,8.22,16.8,0,26.6,6.0,0.573,0
BIN-0050,3652,5.15,28.8,0,2.5,48.1,0.578,0
BIN-0148,3652,1.21,22.7,0,42.2,86.4,1.0,1
BIN-0055,1521,1.76,11.8,1,4.6,59.1,0.788,0
BIN-0106,4691,3.28,25.9,1,45.7,82.6,1.0,1
BIN-0122,2163,1.26,19.2,0,42.2,85.9,1.0,1
BIN-0042,3324,4.07,21.5,0,24.3,35.4,1.0,1
BIN-0062,2481,2.38,27.1,0,19.9,41.2,0.905,1
BIN-0096,1528,0.01,34.2,0,36.9,56.1,1.0,1
BIN-0076,564,2.21,17.1,0,4.0,87.0,0.859,0
BIN-0069,1378,8.08,26.6,0,29.4,83.6,1.0,1
BIN-0072,879,13.07,16.5,0,26.5,13.8,0.475,0
BIN-0147,3499,1.89,32.0,0,18.4,51.3,1.0,1
BIN-0093,2070,10.48,19.0,0,26.0,19.3,0.727,0
BIN-0010,2185,0.16,20.7,0,3.6,84.2,0.931,1
BIN-0079,3195,3.17,37.7,0,45.5,60.9,1.0,1
BIN-0052,2085,1.5,9.7,0,37.5,16.8,0.955,1
BIN-0097,1002,0.12,28.0,0,47.5,34.6,0.779,0
BIN-0005,4926,2.33,22.7,0,35.2,4.9,1.0,1
BIN-0015,3885,0.48,23.9,0,26.5,26.8,1.0,1
BIN-0083,4061,16.56,36.2,0,27.2,74.3,1.0,1
BIN-0077,3068,8.55,36.8,0,20.0,90.5,1.0,1
BIN-0019,1582,2.99,28.4,0,3.8,33.2,0.404,0
BIN-0015,3885,1.89,32.0,0,47.5,27.3,1.0,1
BIN-0006,3944,2.18,39.1,0,43.3,51.9,1.0,1
BIN-0123,2029,1.18,24.5,0,42.3,92.8,1.0,1
BIN-0096,1528,13.71,24.0,0,3.6,88.9,0.981,1
BIN-0134,1163,5.16,25.2,0,41.8,74.2,1.0,1
BIN-0006,3944,4.14,21.0,0,33.7,98.6,1.0,1
BIN-0070,1576,14.23,30.4,0,32.9,46.9,1.0,1
BIN-0022,3247,7.62,21.6,0,21.9,24.0,1.0,1
BIN-0139,3804,7.07,26.1,1,2.5,49.9,0.628,0
BIN-0102,1984,3.82,18.1,0,35.0,94.4,1.0,1
BIN-0010,2185,4.12,11.1,0,14.6,17.5,0.583,0
BIN-0078,2527,6.43,39.1,1,6.2,66.7,0.974,1
BIN-0086,700,5.79,30.6,0,4.9,62.3,0.686,0
BIN-0047,1275,9.02,23.9,1,12.4,39.0,0.568,0
BIN-0030,2028,7.16,12.2,0,43.9,99.8,1.0,1
BIN-0140,4263,6.2,22.2,0,13.4,43.2,1.0,1
BIN-0149,1198,2.79,23.6,0,6.7,49.4,0.595,0
BIN-0055,1521,2.75,27.4,0,22.2,79.6,1.0,1
BIN-0029,1767,4.94,25.4,0,42.3,46.2,1.0,1
BIN-0006,3944,1.31,24.4,0,10.6,77.3,1.0,1
BIN-0043,3112,16.45,14.6,0,46.7,98.3,1.0,1
BIN-0039,2561,1.99,31.6,0,14.6,30.3,0.678,0
BIN-0059,2000,2.88,29.2,0,11.4,93.3,1.0,1
BIN-0030,2028,3.81,31.3,0,13.3,86.7,1.0,1
BIN-0119,4127,0.23,31.4,0,8.8,69.4,1.0,1
BIN-0096,1528,0.04,23.2,1,17.7,44.0,0.862,0
BIN-0086,700,1.28,24.5,0,41.2,25.4,0.596,0
BIN-0137,4243,0.71,16.1,0,11.1,54.8,1.0,1
BIN-0142,1791,0.26,22.1,0,25.4,46.5,0.931,1
BIN-0106,4691,0.77,29.0,0,8.0,64.0,1.0,1
BIN-0104,3290,4.62,13.3,0,45.5,31.4,1.0,1
BIN-0059,2000,0.61,23.4,0,35.6,16.5,0.894,0
BIN-0090,1304,1.87,27.3,0,20.3,17.0,0.432,0
BIN-0150,2660,6.35,24.8,0,22.1,84.2,1.0,1
BIN-0054,3573,6.45,38.7,0,7.9,78.2,1.0,1
BIN-0103,1363,6.95,36.4,0,36.9,37.2,0.968,1
BIN-0079,3195,13.83,25.9,0,8.4,21.9,0.519,0
BIN-0038,2863,0.34,16.4,0,10.8,88.3,1.0,1
BIN-0012,2891,1.29,22.3,0,29.8,68.9,1.0,1
BIN-0053,4443,2.15,31.9,0,47.1,35.6,1.0,1
BIN-0053,4443,0.93,34.3,0,13.7,76.4,1.0,1
BIN-0131,1209,1.57,33.0,1,21.5,83.5,1.0,1
BIN-0143,4081,4.46,27.7,0,20.3,12.0,0.959,1
BIN-0068,837,0.52,29.2,0,33.4,58.1,0.912,1
BIN-0099,1370,7.09,39.9,0,45.3,53.0,1.0,1
BIN-0130,1782,0.41,37.8,0,19.0,44.9,0.875,0
BIN-0124,2538,4.94,24.8,0,25.4,49.6,1.0,1
BIN-0148,3652,11.55,31.7,0,21.2,75.8,1.0,1
BIN-0079,3195,9.89,28.4,0,20.4,98.6,1.0,1
BIN-0068,837,2.27,23.6,0,8.6,55.7,0.554,0
BIN-0089,4145,2.49,27.5,0,14.1,64.5,1.0,1
BIN-0134,1163,9.75,17.8,0,35.4,31.4,0.835,0
BIN-0015,3885,2.7,23.0,0,42.9,67.6,1.0,1
BIN-0138,1995,4.26,25.6,0,46.5,79.9,1.0,1
BIN-0138,1995,2.14,24.9,0,23.1,69.7,1.0,1
BIN-0107,2257,1.96,33.4,0,7.0,94.9,1.0,1
BIN-0023,1475,0.21,33.5,0,36.0,62.8,1.0,1
BIN-0071,4493,0.76,31.1,0,2.8,21.6,0.367,0
BIN-0050,3652,4.22,21.5,0,27.6,69.0,1.0,1
BIN-0010,2185,0.44,33.5,1,25.3,59.4,1.0,1
BIN-0055,1521,8.94,26.5,0,22.7,42.4,0.82,0
BIN-0133,4248,14.51,29.8,0,35.3,81.2,1.0,1
BIN-0014,1684,7.16,12.8,0,24.6,31.7,0.796,0
BIN-0149,1198,2.67,29.6,0,39.2,26.3,0.739,0
BIN-0003,3592,4.51,25.8,0,25.9,72.4,1.0,1
BIN-0039,2561,0.19,25.8,0,24.8,50.2,1.0,1
BIN-0090,1304,11.25,32.1,0,21.1,4.5,0.449,0
BIN-0036,2935,3.73,29.5,0,24.1,81.2,1.0,1
BIN-0004,966,1.54,28.7,0,44.4,12.9,0.531,0
BIN-0107,2257,0.28,30.0,0,45.1,12.9,1.0,1
BIN-0030,2028,2.44,23.3,0,46.6,2.5,1.0,1
BIN-0064,3842,1.83,37.8,0,39.7,7.0,1.0,1
BIN-0095,4340,4.6,14.4,0,23.3,45.0,1.0,1
BIN-0016,4617,13.22,27.0,0,16.7,38.1,1.0,1
BIN-0038,2863,7.31,25.2,0,42.8,2.4,1.0,1
BIN-0103,1363,2.17,23.2,0,18.5,58.0,0.842,0
BIN-0079,3195,15.09,21.7,0,9.8,45.6,0.937,1
BIN-0143,4081,2.4,32.8,1,11.9,4.4,0.813,0
BIN-0102,1984,4.27,29.1,0,17.5,14.4,0.566,0
BIN-0001,1360,24.3,13.4,0,7.3,57.9,0.638,0
BIN-0040,741,1.23,21.1,0,14.5,94.8,1.0,1
BIN-0025,689,0.63,22.0,0,35.8,17.3,0.435,0
BIN-0037,1100,7.4,23.9,0,23.4,92.7,1.0,1
BIN-0027,3505,0.47,24.9,0,17.9,14.8,0.726,0
BIN-0098,4993,2.41,19.4,0,11.1,1.6,0.602,0
BIN-0014,1684,4.12,13.4,0,8.2,51.9,0.632,0
BIN-0037,1100,1.87,47.1,0,20.9,19.3,0.418,0
BIN-0031,3702,4.13,20.1,0,20.7,69.9,1.0,1
BIN-0018,974,2.98,31.9,0,34.8,29.3,0.726,0
BIN-0049,534,1.84,25.7,0,35.9,21.6,0.364,0
BIN-0080,1995,8.31,40.5,0,28.0,24.9,0.905,1
BIN-0103,1363,2.97,35.1,0,46.0,51.4,1.0,1
BIN-0080,1995,0.58,18.9,1,16.1,12.7,0.579,0
BIN-0117,3560,9.76,15.6,0,34.9,72.8,1.0,1
BIN-0108,2178,10.21,11.7,0,39.6,0.6,1.0,1
BIN-0014,1684,6.6,14.9,0,5.1,67.3,0.88,0
BIN-0125,3802,2.51,21.3,0,47.7,99.5,1.0,1
BIN-0063,1495,3.75,29.0,0,46.5,30.0,1.0,1
BIN-0046,3056,1.08,21.1,0,28.2,22.2,1.0,1
BIN-0100,4988,0.48,40.3,1,10.7,80.6,1.0,1
BIN-0047,1275,2.08,24.5,0,37.5,92.0,1.0,1
BIN-0094,3190,0.53,36.2,0,9.9,1.2,0.355,0
BIN-0145,2136,10.89,20.4,1,15.2,88.9,1.0,1
BIN-0032,4056,15.41,25.8,0,28.0,79.3,1.0,1
BIN-0062,2481,7.1,21.8,0,3.0,62.9,0.728,0
BIN-0030,2028,6.3,13.2,0,3.5,24.1,0.191,0
BIN-0129,3175,10.88,19.6,0,34.2,0.6,1.0,1
BIN-0135,2498,0.63,24.4,0,29.6,35.0,1.0,1
BIN-0055,1521,7.94,23.1,0,27.8,81.8,1.0,1
BIN-0024,2306,5.44,17.7,0,46.0,99.6,1.0,1
BIN-0052,2085,3.25,23.3,1,29.8,20.3,1.0,1
BIN-0048,4514,4.78,25.7,0,35.8,68.6,1.0,1
BIN-0025,689,0.97,27.3,0,16.9,85.7,0.951,1
BIN-0055,1521,1.36,30.0,0,9.5,38.8,0.626,0
BIN-0112,3814,7.38,40.0,0,44.1,27.8,1.0,1
BIN-0091,3231,1.37,20.9,0,27.3,72.2,1.0,1
BIN-0048,4514,0.71,25.9,0,40.9,67.8,1.0,1
BIN-0052,2085,6.1,21.6,0,8.3,58.9,0.777,0
BIN-0088,2954,3.95,40.0,0,13.3,67.9,1.0,1
BIN-0095,4340,2.45,16.5,0,22.6,91.7,1.0,1
BIN-0085,3599,1.61,17.2,0,29.1,27.6,1.0,1
BIN-0007,3671,0.1,29.0,0,3.4,96.7,1.0,1
BIN-0064,3842,1.84,23.6,0,5.7,24.2,0.489,0
BIN-0143,4081,0.44,25.5,0,7.3,92.8,1.0,1
BIN-0062,2481,10.85,21.8,0,5.3,83.7,1.0,1
BIN-0130,1782,0.37,36.5,0,46.8,43.9,1.0,1
BIN-0003,3592,5.51,24.4,0,13.6,95.8,1.0,1
BIN-0129,3175,15.86,32.6,0,11.6,19.7,0.648,0
BIN-0032,4056,2.21,23.7,0,6.4,39.6,0.727,0
BIN-0003,3592,8.26,21.0,0,31.9,75.7,1.0,1
BIN-0046,3056,3.57,22.9,0,28.0,95.2,1.0,1
BIN-0073,992,1.05,25.2,0,27.8,63.7,0.916,1
BIN-0134,1163,3.12,16.1,1,20.6,87.5,1.0,1
BIN-0088,2954,5.42,40.3,0,29.0,55.4,1.0,1
BIN-0126,2737,1.19,23.4,0,28.0,61.2,1.0,1
BIN-0046,3056,6.84,35.1,0,36.1,86.2,1.0,1
BIN-0025,689,2.08,18.4,0,7.2,43.1,0.467,0
BIN-0079,3195,9.41,18.6,0,10.6,11.1,0.563,0
BIN-0100,4988,1.56,24.6,0,38.3,76.0,1.0,1
