area,population,temperature,rainfall,holiday,last_collection_hours,waste_generated_kg,overflow
Ward-20,3264,40.0,18.7,1,21,173.86,0
Ward-6,2895,39.7,25.9,0,9,79.38,0
Ward-20,7496,18.8,11.3,0,3,252.97,0
Ward-10,5075,32.9,25.5,0,8,212.3,0
Ward-19,2735,33.2,31.6,0,2,125.6,0
Ward-1,7843,38.3,38.3,0,11,421.22,0
Ward-5,3595,26.9,35.9,0,17,180.95,0
Ward-19,8260,30.9,34.8,0,10,295.05,0
Ward-3,3528,43.7,9.3,0,26,163.6,0
Ward-6,10218,31.9,29.1,1,15,540.84,1
Ward-12,9059,19.1,28.5,1,8,332.94,0
Ward-3,4496,33.3,39.8,0,26,147.55,0
Ward-10,10964,41.4,31.9,0,16,352.42,1
Ward-10,4645,19.8,23.1,1,3,157.69,0
Ward-15,6226,44.6,39.1,1,21,376.99,1
Ward-19,9999,19.1,34.4,1,14,573.73,1
Ward-5,9222,27.9,33.8,1,12,296.29,0
Ward-15,6306,41.7,39.6,0,20,356.37,0
Ward-8,11188,18.2,34.1,1,13,384.71,1
Ward-3,5654,28.5,18.5,0,12,254.34,0
Ward-15,3787,20.3,29.3,1,25,158.88,1
Ward-3,7198,27.2,24.2,0,23,360.59,1
Ward-15,2627,32.7,37.9,0,21,98.36,0
Ward-20,8230,19.7,32.3,1,16,288.05,0
Ward-1,8929,25.3,25.4,0,5,282.63,0
Ward-10,9396,41.5,21.0,1,6,499.69,1
Ward-14,7603,44.0,11.9,0,12,442.2,0
Ward-18,4632,44.1,17.5,1,27,151.66,0
Ward-20,5253,20.1,26.7,0,11,275.18,0
Ward-11,2232,22.1,18.3,0,16,109.38,0
Ward-14,6305,32.1,0.1,1,27,356.67,1
Ward-19,3596,19.0,29.8,0,14,193.99,0
Ward-20,8185,23.8,8.4,0,22,367.77,1
Ward-12,2265,26.2,12.3,0,23,121.83,0
Ward-14,8723,27.5,33.1,1,17,510.03,1
Ward-6,9517,29.6,7.1,0,18,401.36,0
Ward-14,6640,37.0,37.5,0,3,343.9,0
Ward-1,8738,20.8,30.0,0,21,381.81,1
Ward-2,6749,41.0,8.5,1,18,267.45,0
Ward-16,4038,27.5,31.8,1,14,236.93,0
Ward-13,2124,43.4,31.3,1,9,110.35,0
Ward-14,5957,18.1,36.4,0,1,195.02,0
Ward-17,11829,26.6,6.8,1,8,547.74,1
Ward-20,8444,40.4,32.1,1,5,486.9,1
Ward-6,8604,42.4,20.7,1,8,295.87,0
Ward-17,3939,35.0,31.4,1,27,201.45,1
Ward-7,3527,20.5,17.5,0,1,172.96,0
Ward-3,11368,28.3,29.7,0,15,568.52,1
Ward-6,5927,35.6,8.9,0,18,336.3,0
Ward-13,6267,35.8,11.0,0,21,211.75,0
Ward-4,3817,30.4,23.8,0,5,162.64,0
Ward-3,3267,31.3,14.5,0,13,119.69,0
Ward-14,3205,31.1,25.0,0,22,152.11,0
Ward-15,4639,22.9,0.4,0,22,222.39,0
Ward-2,3920,44.3,39.7,1,20,168.36,0
Ward-17,6169,43.0,7.7,0,18,189.8,0
Ward-5,5543,41.4,4.6,0,1,209.55,0
Ward-5,6384,25.4,8.0,0,12,333.21,0
Ward-15,10123,29.8,37.9,0,9,363.7,1
Ward-9,8436,20.8,31.7,1,6,472.2,1
Ward-16,9101,41.8,16.9,1,27,344.36,1
Ward-13,9033,23.4,14.1,0,15,297.66,0
Ward-17,6146,33.8,11.7,1,13,177.1,0
Ward-11,9035,39.4,14.3,0,7,444.0,0
Ward-11,4003,18.3,27.5,1,7,187.79,0
Ward-8,11201,19.8,11.3,0,17,411.54,0
Ward-20,3225,33.5,25.9,1,11,163.37,0
Ward-2,10092,31.5,39.6,1,4,327.18,0
Ward-11,11685,28.3,23.1,1,1,590.43,1
Ward-1,9565,25.7,33.7,1,2,560.73,1
Ward-2,7527,35.4,2.8,0,27,415.96,1
Ward-9,7196,38.3,16.0,1,16,343.8,0
Ward-15,10082,40.9,38.7,0,27,420.27,1
Ward-1,5670,19.3,0.4,0,11,325.59,0
Ward-8,4788,20.4,29.0,1,27,292.91,1
Ward-2,6254,41.8,1.7,0,10,194.87,0
Ward-20,8218,25.3,6.8,0,19,345.17,0
Ward-5,11570,42.0,38.6,1,21,487.07,1
Ward-17,5940,33.6,26.5,1,11,315.19,0
Ward-3,6322,38.7,28.5,1,18,337.82,0
Ward-7,3278,20.0,19.8,0,1,163.0,0
Ward-13,5078,31.2,13.6,1,25,304.55,0
Ward-5,10265,20.9,5.2,1,13,622.94,1
Ward-17,5326,39.1,7.5,1,14,178.3,0
Ward-19,3672,22.0,35.0,0,8,110.42,0
Ward-9,2468,30.9,21.2,1,9,84.81,0
Ward-12,9069,23.7,15.9,1,17,360.52,1
Ward-12,3602,19.3,15.3,1,7,135.94,0
Ward-20,6520,32.3,19.7,1,4,334.69,0
Ward-4,5597,21.1,35.8,1,8,163.01,0
Ward-8,8628,28.6,4.1,1,16,323.51,0
Ward-12,6718,37.1,11.5,0,4,255.15,0
Ward-20,9811,38.0,34.1,0,6,369.86,1
Ward-6,7442,42.3,5.7,0,22,322.58,0
Ward-6,6322,41.8,6.8,0,20,255.4,0
Ward-1,10000,41.6,18.9,0,27,312.42,0
Ward-10,5740,32.2,6.7,0,25,180.56,0
Ward-11,9415,31.2,14.0,1,22,414.43,1
Ward-1,7777,26.1,13.3,1,4,297.06,0
Ward-1,4423,44.4,34.3,0,12,188.52,0
Ward-14,7888,23.6,3.6,1,21,253.14,0
Ward-18,9360,44.7,35.0,0,9,530.37,1
Ward-11,8406,33.9,37.8,1,10,303.42,0
Ward-11,4014,29.7,18.2,1,10,114.02,0
Ward-5,9640,36.4,20.9,1,20,437.12,1
Ward-16,6722,19.7,11.8,1,2,258.5,0
Ward-4,2871,31.2,0.2,1,22,139.97,0
Ward-5,7737,41.7,31.4,0,3,383.36,0
Ward-7,9078,33.8,3.2,0,2,395.39,0
Ward-13,8923,28.8,36.2,1,30,340.97,1
Ward-19,9140,36.3,12.9,0,22,474.69,1
Ward-14,11081,23.4,12.2,1,19,639.08,1
Ward-6,8159,39.1,33.4,0,5,381.42,0
Ward-17,7858,30.6,17.1,1,14,360.99,0
Ward-1,8896,20.4,5.6,1,26,332.13,0
Ward-5,10900,42.3,35.1,0,25,588.39,1
Ward-1,9582,39.8,35.0,1,27,285.27,1
Ward-4,7463,34.0,32.9,1,23,280.5,1
Ward-19,10369,38.0,2.1,0,17,365.53,0
Ward-16,4234,24.0,27.0,0,10,215.58,0
Ward-1,9945,34.8,8.0,0,1,359.2,0
Ward-17,3587,24.7,4.1,0,27,157.67,0
Ward-4,6913,28.9,39.3,0,27,373.61,1
Ward-20,9194,41.2,24.7,1,5,438.69,1
Ward-8,4797,31.8,28.0,0,16,204.63,0
Ward-4,11646,31.3,26.7,1,13,577.42,1
Ward-14,8960,22.0,11.3,0,19,376.7,0
Ward-2,9282,19.2,36.3,0,15,522.51,1
Ward-1,4593,27.7,34.2,0,12,263.15,0
Ward-17,3028,22.7,6.1,1,15,167.28,0
Ward-9,6963,42.9,2.7,1,13,414.19,0
Ward-6,11437,37.1,20.3,1,5,586.08,1
Ward-19,7703,33.8,33.2,0,2,247.23,0
Ward-8,3581,36.0,20.0,1,11,208.32,0
Ward-8,3727,42.3,7.0,1,25,237.53,0
Ward-2,6103,21.1,33.9,0,15,327.11,0
Ward-1,4851,26.7,27.9,1,5,292.39,0
Ward-7,5206,24.8,17.5,1,8,174.09,0
Ward-17,5150,20.3,1.0,0,7,145.26,0
Ward-1,7891,38.9,22.7,0,11,289.8,0
Ward-17,10129,23.1,8.3,1,17,415.6,1
Ward-18,4258,39.6,17.6,1,28,119.92,0
Ward-17,6886,20.7,19.9,0,20,299.15,0
Ward-10,6118,28.5,14.3,0,10,200.28,0
Ward-17,10192,26.4,24.7,0,19,466.46,1
Ward-9,2491,18.9,16.9,0,11,123.47,0
Ward-7,10963,40.1,13.2,0,8,503.44,0
Ward-19,11994,37.0,30.6,0,12,730.82,1
Ward-20,3320,42.0,19.2,0,9,155.81,0
Ward-16,10316,24.1,14.0,1,10,566.41,1
Ward-8,2351,43.1,1.1,0,18,108.6,0
Ward-1,11052,31.0,15.5,1,23,381.14,1
Ward-18,4257,21.1,4.7,1,12,149.9,0
Ward-2,5902,24.3,23.5,0,14,324.94,0
Ward-18,11306,19.2,32.1,0,27,340.74,1
Ward-15,4958,25.6,12.6,0,10,163.95,0
Ward-4,3258,20.1,37.5,0,16,179.21,0
Ward-8,9266,37.3,37.7,1,28,460.75,1
Ward-9,7224,36.8,20.1,0,12,420.08,0
Ward-20,9966,25.6,8.1,0,27,579.99,1
Ward-18,5453,21.3,29.0,0,2,331.5,0
Ward-15,3871,18.6,33.5,1,9,176.46,0
Ward-3,2978,25.5,24.4,1,1,161.81,0
Ward-2,5677,23.6,7.4,1,18,171.42,0
Ward-18,7698,43.3,36.4,1,30,412.7,1
Ward-19,5547,38.4,13.6,1,28,246.73,0
Ward-2,3789,32.9,38.1,1,28,227.7,1
Ward-14,11381,37.4,30.8,1,6,668.0,1
Ward-8,4160,42.5,11.2,1,3,260.3,0
Ward-10,7530,33.4,1.5,1,12,276.63,0
Ward-20,2202,21.4,22.7,1,27,70.69,1
Ward-15,2282,29.9,18.7,1,16,114.38,0
Ward-14,2959,33.6,3.2,1,3,118.19,0
Ward-9,6252,41.5,5.1,0,5,357.21,0
Ward-8,3875,35.7,7.4,1,19,155.28,0
Ward-8,2996,43.7,39.7,1,1,165.15,0
Ward-12,10854,37.4,24.0,1,4,348.6,0
Ward-17,3268,24.4,13.0,1,27,175.34,0
Ward-14,6638,21.9,13.1,1,11,409.22,0
Ward-12,9711,43.4,11.8,0,6,390.26,0
Ward-5,11686,18.7,24.4,1,17,611.2,1
Ward-19,7636,43.4,15.2,0,22,390.7,1
Ward-3,3266,43.9,39.7,1,18,183.71,0
Ward-17,2842,34.4,26.4,1,11,121.65,0
Ward-10,5998,26.9,32.0,1,8,271.89,0
Ward-4,5949,30.0,38.3,1,12,195.11,0
Ward-3,7935,35.6,24.2,1,26,340.53,1
Ward-5,10808,24.6,36.4,0,20,400.11,1
Ward-11,3932,20.2,16.8,0,19,191.51,0
Ward-7,4947,41.7,0.6,0,14,189.68,0
Ward-16,3654,21.4,1.4,1,1,204.86,0
Ward-5,10436,41.4,36.7,1,12,360.86,1
Ward-8,6806,21.2,35.9,1,19,312.79,0
Ward-2,3208,37.9,14.2,1,30,133.58,0
Ward-14,6739,38.5,28.0,0,24,373.68,1
Ward-17,3372,22.1,0.3,1,22,162.03,0
Ward-15,4895,31.7,23.5,0,8,184.16,0
Ward-19,10481,42.2,23.2,1,10,408.67,1
Ward-6,4346,19.1,37.8,0,14,201.07,0
Ward-20,7150,20.7,11.4,0,10,270.8,0
Ward-6,6726,43.4,10.4,0,30,239.67,0
Ward-4,5388,32.9,20.3,0,1,239.95,0
Ward-18,10813,39.6,0.3,0,12,407.96,0
Ward-19,8987,37.8,20.8,1,10,525.76,1
Ward-4,9281,42.0,19.7,0,28,307.66,0
Ward-4,7795,39.7,29.8,0,24,237.51,0
Ward-11,6523,30.2,29.4,0,23,346.0,0
Ward-2,9100,20.7,28.2,1,7,509.16,1
Ward-2,2130,24.6,23.5,0,22,75.21,0
Ward-16,5065,37.8,11.3,0,21,303.07,0
Ward-7,2052,29.7,19.6,0,23,69.25,0
Ward-9,8230,35.0,9.4,1,16,396.04,0
Ward-10,5799,41.6,26.7,1,26,287.49,1
Ward-18,9880,26.0,8.8,1,14,576.73,1
Ward-14,3897,22.8,38.3,0,12,206.59,0
Ward-16,10014,34.2,27.5,0,10,369.51,1
Ward-14,2996,33.2,12.9,1,14,122.74,0
Ward-13,6271,42.6,10.7,0,11,289.66,0
Ward-15,8714,24.0,35.0,0,25,442.8,1
Ward-20,7401,21.5,21.6,0,26,317.44,0
Ward-11,7778,38.7,22.1,0,17,283.87,0
Ward-6,10776,28.7,28.7,1,26,370.41,1
Ward-14,5532,32.9,9.9,0,2,316.48,0
Ward-17,3679,31.5,31.7,0,6,122.58,0
Ward-8,2553,25.4,4.9,1,21,120.02,0
Ward-9,3391,20.1,20.2,1,1,116.44,0
Ward-20,4487,20.6,23.5,1,7,260.91,0
Ward-11,8965,31.8,0.9,1,15,314.03,0
Ward-19,9723,28.2,17.2,0,14,454.66,0
Ward-18,10300,24.6,0.7,1,24,425.55,1
Ward-18,3774,30.2,23.1,0,13,198.42,0
Ward-16,11226,20.9,12.4,0,26,532.27,1
Ward-18,4773,23.6,37.7,0,3,168.09,0
Ward-16,10575,37.5,22.7,0,2,550.79,1
Ward-10,7535,40.5,1.5,1,28,234.93,0
Ward-18,10007,32.7,12.5,0,11,438.04,0
Ward-18,3334,42.9,17.0,0,13,93.3,0
Ward-17,3990,22.5,17.5,0,2,225.5,0
Ward-17,9982,21.8,35.0,1,13,286.94,0
Ward-10,6441,32.1,24.6,1,19,304.53,0
Ward-17,5349,39.7,38.1,1,17,256.36,0
Ward-7,7409,43.0,28.8,0,6,352.0,0
Ward-1,7205,29.2,6.0,0,1,271.06,0
Ward-4,10810,30.4,3.8,1,20,369.06,1
Ward-18,5703,27.3,0.6,0,9,236.17,0
Ward-14,11575,37.7,14.7,1,30,437.35,1
Ward-7,3269,34.0,4.1,0,9,118.1,0
Ward-5,10557,33.9,30.6,1,19,564.89,1
Ward-9,9756,23.7,0.1,0,7,331.55,0
Ward-5,4348,22.5,35.0,1,3,229.4,0
Ward-17,9203,29.5,18.9,1,17,475.55,1
Ward-13,8181,38.9,28.2,1,10,443.94,1
Ward-3,11918,40.7,38.2,1,23,406.12,1
Ward-15,10029,36.8,10.0,0,18,577.67,0
Ward-6,2414,41.4,34.2,1,24,107.81,1
Ward-7,8266,28.1,37.3,0,7,358.65,0
Ward-1,11604,26.4,3.8,1,30,453.32,1
Ward-20,6473,18.9,11.0,1,13,210.54,0
Ward-9,6492,34.9,38.8,0,28,333.44,0
Ward-20,9446,31.2,18.9,0,2,392.62,0
Ward-5,4898,41.5,5.3,1,27,253.46,0
Ward-2,7148,20.6,21.8,0,21,326.77,0
Ward-11,4772,42.5,23.5,1,17,151.77,0
Ward-14,3007,19.8,33.0,0,24,101.17,0
Ward-2,6514,34.4,27.5,1,6,333.26,0
Ward-1,7098,25.4,14.0,1,15,341.78,0
Ward-19,9585,20.4,36.7,0,24,305.1,1
Ward-1,4774,39.3,8.7,1,15,163.83,0
Ward-8,7042,40.6,25.7,0,24,356.25,1
Ward-2,8214,37.1,7.1,0,19,313.21,0
Ward-7,6469,41.9,7.1,1,9,320.03,0
Ward-16,7818,33.6,14.0,1,27,395.81,1
Ward-2,11588,28.4,21.5,0,23,504.31,1
Ward-10,5398,27.2,38.7,1,3,233.49,0
Ward-7,9662,25.0,36.9,0,16,333.86,0
Ward-12,11236,28.2,23.5,0,11,578.65,1
Ward-1,4600,29.4,13.4,0,6,256.27,0
Ward-15,10958,23.0,0.9,1,19,515.48,1
Ward-13,9759,40.5,10.1,1,20,398.83,1
Ward-10,2657,44.2,35.1,0,14,104.43,0
Ward-19,8565,34.0,6.6,0,30,338.06,0
Ward-17,5251,43.7,22.7,0,5,273.58,0
Ward-2,3481,26.4,30.6,1,15,144.21,0
Ward-5,5283,41.8,12.1,0,6,184.06,0
Ward-3,6009,22.2,22.2,1,1,260.11,0
Ward-16,11008,36.5,28.0,1,22,453.05,1
Ward-8,3569,28.5,12.7,0,13,205.78,0
Ward-14,11780,28.6,2.9,1,22,618.52,1
Ward-8,11970,22.8,9.4,1,11,519.24,1
Ward-20,8523,42.7,25.8,0,16,292.2,0
Ward-14,3521,27.2,26.2,1,5,131.2,0
Ward-16,2570,25.0,38.2,0,6,108.5,0
Ward-4,9617,39.8,13.9,0,21,549.48,1
Ward-1,4635,26.6,23.0,1,22,201.72,1
Ward-13,8921,38.8,12.1,1,24,441.48,1
Ward-15,10225,28.1,18.9,1,28,465.46,1
Ward-6,8947,32.4,15.3,0,5,288.21,0
Ward-19,6224,23.3,32.5,1,14,187.05,0
Ward-4,10021,30.4,2.0,1,9,435.61,1
Ward-1,10892,25.2,11.7,1,1,464.65,1
Ward-2,11761,21.0,29.3,1,8,416.06,1
Ward-5,4369,35.1,17.2,1,12,266.01,0
Ward-8,10577,33.4,1.6,1,12,333.83,0
Ward-4,8257,31.8,29.0,1,30,397.52,1
Ward-13,2366,23.0,29.9,0,27,154.34,0
Ward-7,11353,25.0,12.1,0,23,607.68,1
Ward-16,5525,38.5,17.5,0,9,230.71,0
Ward-13,4969,36.3,10.9,1,7,148.43,0
Ward-5,6501,25.2,24.0,1,4,218.92,0
Ward-11,5621,19.7,11.5,1,19,243.39,0
Ward-18,8374,30.8,22.3,1,11,344.43,0
Ward-5,9568,41.1,20.0,0,22,395.12,1
Ward-19,3287,35.0,22.5,1,3,138.47,0
Ward-12,6981,25.9,12.6,1,1,245.48,0
Ward-20,7761,33.3,16.6,0,25,461.71,1
Ward-16,5845,28.1,21.5,1,20,326.67,0
Ward-13,5576,23.7,4.4,1,6,322.63,0
Ward-13,11012,29.0,30.1,1,29,521.1,1
Ward-12,3730,35.9,27.5,1,17,167.52,0
Ward-13,10107,38.4,11.5,1,6,570.45,1
Ward-10,2054,32.4,13.4,1,21,88.53,0
Ward-13,11505,35.6,39.0,1,7,569.56,1
Ward-5,11989,34.7,40.0,1,1,466.57,1
Ward-19,9731,36.5,38.1,0,24,479.08,1
Ward-13,11044,31.8,7.7,0,15,468.58,0
Ward-6,9736,43.3,36.9,1,5,393.43,1
Ward-7,11463,30.5,9.8,1,8,636.8,1
Ward-17,3821,39.7,33.5,0,8,186.11,0
Ward-1,2529,36.4,16.3,1,28,116.43,0
Ward-9,10803,21.3,31.1,0,15,488.96,1
Ward-10,8527,40.4,29.0,0,12,375.08,0
Ward-15,9021,39.3,4.1,1,25,504.1,1
Ward-4,4768,27.9,26.3,0,30,177.11,0
Ward-9,3591,26.9,27.7,1,29,194.22,1
Ward-9,7610,26.0,17.8,1,23,278.2,0
Ward-2,4294,22.0,11.5,0,29,171.1,0
Ward-10,7024,43.5,6.3,1,16,367.91,0
Ward-5,4106,22.0,11.7,1,9,182.74,0
Ward-7,11555,26.2,23.4,1,12,606.45,1
Ward-17,8649,30.9,36.0,1,21,314.02,1
Ward-11,10574,28.1,34.6,1,21,371.88,1
Ward-6,9929,42.2,0.6,0,11,353.1,0
Ward-5,6559,34.4,29.2,0,21,235.47,0
Ward-19,2199,40.7,33.8,0,24,85.9,0
Ward-13,3619,43.7,20.3,1,18,226.84,0
Ward-18,3301,44.2,2.2,0,8,133.97,0
Ward-8,5741,36.6,18.2,0,20,209.1,0
Ward-7,3043,42.5,5.3,1,2,100.01,0
Ward-19,9819,30.5,21.5,0,11,510.21,1
Ward-16,3907,29.9,19.0,0,18,190.22,0
Ward-10,11327,18.3,17.2,0,24,652.15,1
Ward-7,11649,39.8,24.6,1,1,433.74,1
Ward-9,10070,35.0,13.1,1,17,393.63,1
Ward-9,10719,24.7,11.0,1,21,482.16,1
Ward-6,9988,18.2,35.7,1,16,331.14,0
Ward-14,6991,20.6,34.5,1,21,366.71,1
Ward-7,3781,38.6,8.5,1,11,199.24,0
Ward-10,11986,23.7,26.9,1,6,424.43,1
Ward-6,4587,34.5,6.3,1,21,216.2,0
Ward-9,5747,43.2,18.9,1,12,190.76,0
Ward-12,7166,30.1,17.0,1,25,315.14,0
Ward-13,2906,44.2,14.1,0,15,134.83,0
Ward-7,5417,35.9,10.2,1,1,226.45,0
Ward-11,11143,33.1,8.0,0,20,516.68,0
Ward-4,3219,24.6,13.0,1,24,171.91,0
Ward-2,8390,36.6,36.4,1,8,326.48,0
Ward-13,2971,20.7,25.6,1,18,139.0,0
Ward-4,9730,21.6,30.0,1,25,518.67,1
Ward-5,11663,26.1,8.0,0,15,438.6,0
Ward-9,11120,32.3,11.7,0,5,573.89,0
Ward-11,7918,42.4,17.8,0,6,302.96,0
Ward-12,7456,23.4,38.9,1,9,376.0,1
Ward-5,3952,35.3,17.1,1,26,125.39,0
Ward-17,8119,18.4,17.5,0,17,449.31,0
Ward-18,10061,25.6,13.4,0,24,308.32,0
Ward-18,3840,32.4,31.9,0,19,225.87,0
Ward-7,3197,38.7,17.2,1,15,154.41,0
Ward-5,7413,20.0,25.9,1,15,347.45,0
Ward-14,2351,28.8,11.8,1,1,64.03,0
Ward-5,6241,41.1,23.4,1,18,279.55,0
Ward-19,7810,42.1,28.6,0,7,403.66,0
Ward-6,3653,18.7,24.1,0,25,117.48,0
Ward-3,7365,41.5,37.1,0,7,284.85,0
Ward-9,5817,43.3,8.7,1,1,214.43,0
Ward-15,4017,40.5,15.0,1,28,219.76,0
Ward-13,2806,30.1,16.0,0,25,128.79,0
Ward-3,4868,31.7,23.1,0,6,241.35,0
Ward-16,11909,27.7,39.8,1,7,416.05,1
Ward-17,7895,30.9,20.3,1,1,250.7,0
Ward-13,3639,27.6,37.8,0,14,218.52,0
Ward-8,3383,35.6,32.4,1,1,189.03,0
Ward-11,2743,21.8,10.0,0,5,110.58,0
Ward-16,2638,19.7,32.1,1,12,140.94,0
Ward-14,4824,22.7,20.7,0,24,268.61,0
Ward-12,3792,39.2,1.2,0,10,154.61,0
Ward-9,7260,18.8,1.0,0,29,329.67,0
Ward-5,8679,19.3,15.1,0,6,280.38,0
Ward-8,3509,29.3,2.7,1,15,223.03,0
Ward-18,9215,21.6,24.1,0,10,424.09,1
Ward-9,4100,26.7,21.6,0,16,196.86,0
Ward-19,5215,21.4,20.6,0,8,269.31,0
Ward-13,6625,41.9,4.2,0,9,241.82,0
Ward-11,9571,36.0,20.8,1,25,538.53,1
Ward-12,4379,33.6,37.4,0,24,245.79,0
Ward-2,5242,44.4,0.6,0,27,268.72,0
Ward-11,2191,33.4,19.4,1,7,119.73,0
Ward-19,8646,30.2,8.6,1,18,383.27,0
Ward-17,7527,27.1,35.7,1,11,407.53,1
Ward-18,9476,35.9,26.7,1,25,414.37,1
Ward-12,8988,35.3,38.6,0,4,329.18,0
Ward-4,3970,32.9,11.8,1,10,175.13,0
Ward-3,10269,22.9,32.8,0,5,555.73,1
Ward-1,5255,37.8,14.2,0,19,294.22,0
Ward-18,7941,32.6,27.7,0,12,283.26,0
Ward-20,5707,40.8,30.0,0,18,336.91,0
Ward-7,6561,19.3,38.8,1,10,274.42,0
Ward-14,9807,30.6,5.4,1,1,324.57,0
Ward-10,5420,42.9,24.5,0,2,271.0,0
Ward-16,4625,38.6,32.3,0,13,253.69,0
Ward-13,11689,23.2,33.4,0,8,679.54,1
Ward-13,4022,37.6,23.4,0,7,181.05,0
Ward-11,2176,35.2,20.8,0,25,105.16,0
Ward-15,6895,40.2,21.7,1,5,240.57,0
Ward-11,6458,43.6,1.6,1,4,312.23,0
Ward-6,9983,38.5,9.0,0,3,602.4,0
Ward-20,7940,24.5,34.0,1,27,402.62,1
Ward-2,3723,41.4,11.2,1,29,140.11,0
Ward-14,6116,44.5,3.3,0,23,321.07,0
Ward-16,5627,34.0,26.6,0,25,307.81,0
Ward-20,11267,28.1,20.8,1,2,544.99,1
Ward-4,11431,20.6,38.7,0,12,550.24,1
Ward-20,8911,40.0,28.7,0,12,437.93,0
Ward-15,11393,41.3,1.5,1,27,626.78,1
Ward-14,2420,23.8,7.2,1,4,90.31,0
Ward-1,9481,40.9,10.1,1,12,551.29,1
Ward-15,2783,26.8,28.0,1,25,138.13,1
Ward-18,7273,38.0,30.1,0,28,310.8,0
Ward-12,10818,38.0,33.4,0,11,577.53,1
Ward-3,8652,26.4,19.9,0,25,349.48,0
Ward-16,7744,27.1,17.5,1,25,256.05,0
Ward-1,3826,23.1,12.4,1,25,166.16,0
Ward-20,3244,23.4,3.6,1,28,131.59,0
Ward-18,7796,28.7,36.9,0,28,470.07,1
Ward-10,11340,44.2,13.0,0,15,611.09,0
Ward-5,6485,18.7,9.0,0,8,362.42,0
Ward-7,4381,18.3,9.7,0,28,225.41,0
Ward-14,11114,32.9,22.7,1,6,619.36,1
Ward-19,8342,38.2,28.3,1,26,448.15,1
Ward-12,5845,26.6,14.3,0,11,345.59,0
Ward-8,10819,33.6,3.9,1,18,438.61,1
Ward-20,5732,37.4,28.7,0,15,231.7,0
Ward-15,9174,31.4,17.4,0,1,431.69,0
Ward-2,7695,30.9,28.3,0,22,330.86,0
Ward-9,11334,24.8,35.9,0,23,540.5,1
Ward-5,8492,23.8,18.1,1,11,325.94,0
Ward-17,8670,21.9,21.6,1,28,266.25,1
Ward-12,11624,21.2,39.1,0,17,479.44,1
Ward-7,6076,44.5,30.9,0,27,221.29,0
Ward-16,3957,27.0,3.8,1,19,209.33,0
Ward-14,8247,36.8,5.5,1,6,265.33,0
Ward-14,6128,31.5,7.4,1,7,244.93,0
Ward-3,7565,30.2,3.8,1,1,408.94,0
Ward-18,2969,36.4,3.8,0,17,83.26,0
Ward-10,2453,39.6,22.7,1,28,65.59,1
Ward-20,10162,22.9,8.7,1,4,587.23,1
Ward-20,8130,33.5,35.7,0,17,292.96,0
Ward-1,2635,43.3,35.5,0,26,170.3,0
Ward-4,7718,36.4,23.6,0,29,242.36,0
Ward-5,7527,43.3,37.1,1,26,311.61,1
Ward-18,3072,27.1,14.6,0,27,149.15,0
Ward-2,7870,19.6,39.3,1,26,441.66,1
Ward-19,3618,40.9,3.6,1,30,168.78,0
Ward-18,10547,28.6,21.9,0,10,415.68,1
Ward-7,6799,43.5,17.1,1,13,201.73,0
Ward-4,7267,33.2,24.4,1,16,445.17,1
Ward-2,10643,40.4,7.5,0,10,614.04,0
Ward-19,10893,22.7,12.5,0,18,354.6,0
Ward-13,5084,27.5,21.5,1,24,244.03,1
Ward-17,8075,36.4,1.8,0,4,340.44,0
Ward-8,7247,20.0,8.1,0,19,337.27,0
Ward-13,5375,42.3,4.7,1,1,313.47,0
Ward-11,4900,44.7,33.1,1,30,251.95,1
Ward-5,11809,24.6,26.7,1,22,570.94,1
Ward-10,5356,43.4,26.1,1,14,268.23,0
Ward-14,8178,25.5,36.0,1,9,397.64,1
Ward-13,2684,36.8,18.0,0,3,116.47,0
Ward-16,3089,23.0,13.1,1,22,166.73,0
Ward-10,10786,25.7,34.2,1,4,565.62,1
Ward-7,3417,33.0,19.9,0,17,203.32,0
Ward-4,3825,24.2,33.3,0,3,214.51,0
Ward-8,9142,34.6,17.5,0,15,419.64,0
Ward-17,5096,38.8,29.0,0,19,141.16,0
Ward-9,4875,27.5,8.0,0,13,219.7,0
Ward-17,3042,24.1,25.1,1,22,138.09,1
Ward-15,3136,40.8,24.1,1,18,111.12,0
Ward-11,2929,21.0,2.6,0,20,160.14,0
Ward-11,8068,19.0,36.1,0,1,336.82,0
Ward-13,11288,21.2,9.0,0,19,504.19,0
Ward-16,11363,35.4,11.3,1,15,640.69,1
Ward-16,6096,27.3,39.5,1,16,337.15,0
Ward-18,7900,24.0,11.5,0,13,489.07,0
Ward-12,2343,29.7,12.0,0,15,114.33,0
Ward-8,8590,21.4,25.1,0,13,362.94,0
Ward-15,9272,43.7,18.5,1,11,448.56,1
Ward-17,5373,24.6,28.5,0,28,290.11,0
Ward-12,9591,32.8,30.6,1,12,461.57,1
Ward-5,9704,20.9,26.1,1,29,544.57,1
Ward-20,8752,19.4,8.7,0,22,364.16,1
Ward-6,9257,18.6,8.3,0,9,558.1,0
Ward-5,8584,33.5,32.0,0,14,328.85,0
Ward-5,9973,26.5,37.3,0,22,310.85,1
Ward-1,2142,42.8,34.8,1,28,87.3,1
Ward-12,5326,38.1,38.3,1,27,175.26,1
Ward-11,11559,42.4,17.9,1,23,399.66,1
Ward-18,4618,42.3,6.1,1,4,217.02,0
Ward-6,11202,32.9,18.8,1,23,611.01,1
Ward-4,4402,42.5,3.9,0,5,247.22,0
